District;2018;2019;2020;2021;2022;2023;2024
Karoo Hoogland LM: NC066;5,9;11,5;10,4;7,1;7,7;25,9;12,2
Kgatelopele LM: NC086;9,1;4,7;10,3;31,6;30,3;15,1;10,1
Kgetlengrivier LM: NW374;17,8;13,5;8,7;5,3;2,4;2,3;3,8
Khâi-Ma LM: NC067;5,1;8,2;3;3,3;11,7;17,5;8
King Cetshwayo DM: DC28;9,7;8,2;8,4;8,8;6,7;4,6;2,7
King Sabata Dalindyebo LM: EC157;18;15,3;13,3;11,8;14;10;6
Knysna LM: WC048;24,9;20;23,7;22,3;18,9;23,7;20,5
Kopanong LM: FS162;13;6,4;13,2;13,6;8,4;8,1;10,9
Kouga LM: EC108;20;15,4;21,4;20,9;22,1;23,3;14,5
Kou-Kamma LM: EC109;16,3;16,6;15,2;19,7;17,3;20,1;17,7
KwaDukuza LM: KZN292;15,2;15,2;20;21;12,4;9,8;7,1
KwaZulu-Natal: KZ;9,8;8,4;7,4;7,7;7,1;6,4;4,7
Laingsburg LM: WC051;24,4;11,3;13,3;16,3;17,5;17,2;23,5
Langeberg LM: WC026;14;11;13,6;11,1;12,6;11,3;9,4
Lejweleputswa DM: DC18;13,3;13,6;11,6;14,6;12,4;10,8;10,6
Lekwa LM: MP305;32;21,3;7,8;3,2;2,1;3,3;1,2
Lekwa-Teemane LM: NW396;13;12,2;16,7;15,8;14,1;8,7;4,8
Lepelle-Nkumpi LM: LIM355;4,2;2,8;5,9;3,9;4,7;3,6;0,96
Lephalale LM: LIM362;5;3,4;6;9,4;7,3;4,7;1,9
Lesedi LM: GT423;11,4;3,2;6,3;11;5;11,8;8,3
Letsemeng LM: FS161;8,2;12,6;23,9;24,8;14,5;15,6;8
Limpopo: LP;8,5;6,2;5,5;4,8;4,5;3,6;2,7
Madibeng LM: NW372;12,4;10,1;9,7;6,3;7,3;4,9;4,2
Mafube LM: FS205;1,9;3,4;6,9;5,6;7,9;5,1;3,7
Magareng LM: NC093;15,3;5,9;5,3;13;5,2;2,9;2,4
Mahikeng LM: NW383;9,1;8;5,8;5,1;1,1;0,27;0,65
Makana LM: EC104;11,4;16,2;17,6;20,4;16,2;13,7;11,5
Makhado LM: LIM344;11,2;8,2;4,5;3,4;4,9;3,8;1,8
Makhuduthamaga LM: LIM473;11;7,3;7,3;4,6;6;4,3;3,1
Maluti-a-Phofung LM: FS194;7,7;5,5;5,7;5,4;5,4;5,1;6,2
Mamusa LM: NW393;15,7;17,8;8,2;5,6;3,6;3,8;1,5
Mandeni LM: KZN291;16,8;17,1;14,5;14,6;13;11,2;8,1
Mangaung MM: MAN;11,1;9,4;11;10,6;11,1;10;6,3
Mangaung MM: MAN_MM;11,1;9,4;11;10,6;11,1;10;6,3
Mantsopa LM: FS196;8,7;12;15,5;13,5;12,1;9,2;7,8
Maphumulo LM: KZN294;11,2;10,6;9,3;7,9;5,9;6,1;4,5
Maquassi Hills LM: NW404;22,8;12,4;6,5;5;5;6,2;5,4
Maruleng LM: LIM335;1,8;2;1,1;1,9;0,67;5,9;2,9
Masilonyana LM: FS181;6,9;8;8,1;11,4;7,6;9,3;12,1
Matatiele LM: EC441;15,4;6,9;7,2;5,3;8,5;7,6;5,7
Matjhabeng LM: FS184;13,8;13,1;11,2;14,6;13,3;10,6;10,7
Matzikama LM: WC011;8,2;10,2;9,9;14,1;11,4;13;9,6
Mbhashe LM: EC121;4;5,3;5;5;6,5;4;3,5
Mbizana LM: EC443;8,9;5,6;5,6;7;6,4;8,8;8
Merafong City LM: GT484;8,9;4,7;3,2;2,4;3,5;5,5;4,6
Metsimaholo LM: FS204;8,7;4,3;7,3;9,7;10,6;9,1;4,4
Mhlontlo LM: EC156;19,1;16,7;12,5;8,5;12,9;9,9;8,2
Midvaal LM: GT422;21,8;19,5;27,3;11,6;7,6;11,6;13
Mkhambathini LM: KZN226;6,7;6,7;9,6;8,2;5,6;1,9;4
Mkhondo LM: MP303;8,2;7;6,2;2,1;2,8;4,7;1,3
Mnquma LM: EC122;10,4;7,5;5,8;8,9;13,7;9;4,7
Mogalakwena LM: LIM367;9,8;6,9;6,3;5,7;5,3;2,8;2,5
Mogale City LM: GT481;4,6;1,4;2,5;2,5;3,8;2,5;2,1
Mohokare LM: FS163;8,6;12,9;13,3;13,3;6,8;15,7;6,4
Molemole LM: LIM353;2,7;0,48;0;0;0;0;0
Mookgophong/Modimolle LM: LIM368;8,3;9,6;7,5;12,9;5,7;1,2;2,2
Mopani DM: DC33;9;4,8;4,1;4,6;4,5;4,9;3,2
Moqhaka LM: FS201;6,1;10,9;16,7;15,1;13,1;14,3;8,7
Moretele LM: NW371;9,7;7,2;6,3;8,1;8,5;8,4;6
Moses Kotane LM: NW375;12,8;8,9;7,4;10,9;5,3;7,3;4,9
Mossel Bay LM: WC043;14,5;19,8;20,5;11,2;18,9;20,4;20,8
Mpofana LM: KZN223;2,7;2,1;4,8;4,2;8,8;0;0
Mpumalanga: MP;10;9,2;7,6;5,7;6;5,6;3,7
Msinga LM: KZN244;0,64;0,75;0,38;0;0,7;0,53;0,65
Msukaligwa LM: MP302;21,2;14,2;20,4;11,6;9;4,2;2,6
Msunduzi LM: KZN225;8,8;6,2;7,8;6,7;5,8;6,3;4,2
Mthonjaneni LM: KZN285;8,9;7,4;8,4;11,1;8,3;5,6;2,2
Mtubatuba LM: KZN275;6,5;5,8;8,1;6,7;4,6;4,2;2,8
Musina LM: LIM341;22,3;20,6;10,7;7,9;2,8;0;2,5
N Mandela A SD: NMA_A;10,5;11,3;12,8;14,9;16,9;19,3;18,1
N Mandela B SD: NMA_B;11,2;9,1;9,2;16,4;15,8;18,1;17,3
N Mandela Bay MM: NMA;10,3;10,8;12,3;14,7;14,9;16,8;15
N Mandela Bay MM: NMA_MM;10,3;10,8;12,3;14,7;14,9;16,8;15
N Mandela C SD: NMA_C;9,5;11,5;14,1;13;12,3;13,4;10,7
Nala LM: FS185;16,4;20,1;14,2;18,2;10,5;13,9;11,6
Naledi LM: NW392;14,7;14,5;9,9;8;3,1;1,7;0,26
Naledi SD: MAN_Naledi;15,8;7,1;6,1;19,5;7,8;3,9;2
Nama Khoi LM: NC062;9,2;4,6;7,8;5,4;9,5;6,1;6
Namakwa DM: DC6;8,9;7,9;9,5;7,3;9,6;12,6;10,5
Ndlambe LM: EC105;12;12,1;12,8;13,8;13,5;14,7;11,9
Ndwedwe LM: KZN293;8,8;6,6;8,7;6,3;11,3;4,9;3,7
Newcastle LM: KZN252;10;10,8;5,6;7,9;5,6;4,3;5
Ngqushwa LM: EC126;15,4;7,2;11;8,5;12,8;12,3;5,1
Ngwathe LM: FS203;7,3;8,7;10,7;19,3;11,6;12;9
