geo_area;geo_prov;All DS TB patients in cohort;DS TB patients who completed treatment or were cured;DS TB patients who died;DS TB patients who were lost to follow up;Medical scheme coverage (ave);Number of TB tests conducted;Percentage of target tested for TB;Population density;TB DS client lost to follow up rate;TB DS death rate;TB MDR client death rate;TB/HIV co-infected client on ART rate (ETR.Net)
Gauteng: GP;GP;31553;16463;1624;1649;21,3;578006;131,685;876,4;5,2;5,1;4,8;92,6
George LM: WC044;WC;1984;1008;53;363;;;;;18,3;2,7;5,3;90,02
Govan Mbeki LM: MP307;MP;749;433;40;48;;;;;6,4;5,3;0;93,67
Gr Kokstad LM: KZN433;KZ;447;190;14;17;;;;;3,8;3,1;0;97,53
Great Kei LM: EC123;EC;206;133;8;29;;;;;14,1;3,9;;91,18
Greater Giyani LM: LIM331;LP;332;191;21;4;;;;;1,2;6,3;0;93,41
Greater Letaba LM: LIM332;LP;457;225;39;12;;;;;2,6;8,5;100;97,38
Greater Taung LM: NW394;NW;509;289;63;38;;;;;7,5;12,4;9,1;97,89
Greater Tzaneen LM: LIM333;LP;981;473;99;34;;;;;3,5;10,1;0;96,53
Hantam LM: NC065;NC;251;147;6;33;;;;;13,1;2,4;;94,44
Harry Gwala DM: DC43;KZ;1682;905;109;89;5,24;40904;208,64;50,294;5,3;6,5;0;95,75
Hessequa LM: WC042;WC;316;179;17;37;;;;;11,7;5,4;0;90
iLembe DM: DC29;KZ;3120;1808;215;204;6,51;46547;135,615;225,029;6,5;6,9;0;97,06
Impendle LM: KZN224;KZ;35;39;1;2;;;;;5,7;2,9;;100
Ingquza Hill LM: EC153;EC;2049;1140;91;96;;;;;4,7;4,4;0;97,27
Inkosi Langalibalele LM: KZN237;KZ;391;238;36;5;;;;;1,3;9,2;0;99,55
Intsika Yethu LM: EC135;EC;474;331;21;42;;;;;8,9;4,4;;98,86
Inxuba Yethemba LM: EC131;EC;638;343;48;67;;;;;10,5;7,5;0;95,32
JB Marks LM: NW405;NW;839;526;47;40;;;;;4,8;5,6;;82,17
Joe Gqabi DM: DC14;EC;1627;972;97;153;5,5;38899;190,385;14,395;9,4;6;8,3;95,93
Joe Morolong LM: NC451;NC;351;258;24;30;;;;;8,5;6,8;;97,12
Johannesburg A SD: JHB_A;GP;1333;942;33;74;;;;;5,6;2,5;0;93,05
Johannesburg B SD: JHB_B;GP;1231;434;65;49;;;;;4;5,3;0;95,11
Johannesburg C SD: JHB_C;GP;735;530;34;93;;;;;12,7;4,6;0;95,26
Johannesburg D SD: JHB_D;GP;3889;1718;270;174;;;;;4,5;6,9;4,3;94,74
Johannesburg E SD: JHB_E;GP;1264;647;74;51;;;;;4;5,9;3,2;89,38
Johannesburg F SD: JHB_F;GP;1712;877;94;145;;;;;8,5;5,5;0;88,78
Johannesburg G SD: JHB_G;GP;1368;1181;87;110;;;;;8;6,4;0;91,15
Johannesburg MM: JHB;GP;11532;6329;657;696;19,8;198630;115,988;3548,277;6;5,7;2,6;92,74
Johannesburg MM: JHB_MM;GP;11532;6329;657;696;;;;;6;5,7;2,6;92,74
Jozini LM: KZN272;KZ;458;275;19;8;;;;;1,7;4,1;0;95,11
JT Gaetsewe DM: DC45;NC;1175;574;64;122;14,64;11228;64,241;10,589;10,4;5,4;;71,16
Kagisano-Molopo LM: NW397;NW;541;325;31;24;;;;;4,4;5,7;;98,08
Kai !Garib LM: NC082;NC;521;260;25;71;;;;;13,6;4,8;;93,42
Kamiesberg LM: NC064;NC;67;39;1;7;;;;;10,4;1,5;;69,23
Kannaland LM: WC041;WC;335;185;8;45;;;;;13,4;2,4;0;90
Kareeberg LM: NC074;NC;74;39;2;6;;;;;8,1;2,7;;95,24
Karoo Hoogland LM: NC066;NC;82;52;2;10;;;;;12,2;2,4;;100
Kgatelopele LM: NC086;NC;69;42;9;7;;;;;10,1;13;;94,12
Kgetlengrivier LM: NW374;NW;320;229;30;12;;;;;3,8;9,4;0;81,77
Khâi-Ma LM: NC067;NC;100;63;6;8;;;;;8;6;;95,24
King Cetshwayo DM: DC28;KZ;4010;2179;286;107;6,74;84760;203,966;123,435;2,7;7,1;0;97,18
King Sabata Dalindyebo LM: EC157;EC;2898;1594;101;173;;;;;6;3,5;9,1;98,19
Knysna LM: WC048;WC;595;286;32;122;;;;;20,5;5,4;0;88,44
Kopanong LM: FS162;FS;193;109;17;21;;;;;10,9;8,8;0;93,22
Kouga LM: EC108;EC;1432;803;48;207;;;;;14,5;3,4;7,1;95,8
Kou-Kamma LM: EC109;EC;524;249;14;93;;;;;17,7;2,7;;94,31
KwaDukuza LM: KZN292;KZ;1768;914;117;126;;;;;7,1;6,6;0;96,59
KwaZulu-Natal: KZ;KZ;42896;24341;2157;2034;10,2;908393;147,339;130,5;4,7;5;1,6;96,08
Laingsburg LM: WC051;WC;68;24;4;16;;;;;23,5;5,9;;94,12
Langeberg LM: WC026;WC;1488;912;25;140;;;;;9,4;1,7;0;90,44
Lejweleputswa DM: DC18;FS;1947;1041;152;206;14;17162;45,953;21,559;10,6;7,8;0;91,15
Lekwa LM: MP305;MP;244;143;19;3;;;;;1,2;7,8;;95,77
Lekwa-Teemane LM: NW396;NW;289;193;19;14;;;;;4,8;6,6;;95,24
Lepelle-Nkumpi LM: LIM355;LP;415;196;26;4;;;;;0,96;6,3;0;95,65
Lephalale LM: LIM362;LP;322;193;21;6;;;;;1,9;6,5;0;81,62
Lesedi LM: GT423;GP;420;153;32;35;;;;;8,3;7,6;0;97,48
Letsemeng LM: FS161;FS;200;110;13;16;;;;;8;6,5;0;96,08
Limpopo: LP;LP;10103;5068;811;272;10;117749;99,763;50,9;2,7;8;6,4;89,87
Madibeng LM: NW372;NW;843;548;61;35;;;;;4,2;7,2;0;94,16
Mafube LM: FS205;FS;136;70;12;5;;;;;3,7;8,8;0;70,69
Magareng LM: NC093;NC;123;85;11;3;;;;;2,4;8,9;;98,28
Mahikeng LM: NW383;NW;1224;592;36;8;;;;;0,65;2,9;0;82,88
Makana LM: EC104;EC;686;364;33;79;;;;;11,5;4,8;;94,42
Makhado LM: LIM344;LP;1017;414;104;18;;;;;1,8;10,2;0;80,22
Makhuduthamaga LM: LIM473;LP;445;202;46;14;;;;;3,1;10,3;20;91,34
Maluti-a-Phofung LM: FS194;FS;823;444;69;51;;;;;6,2;8,4;0;84,16
Mamusa LM: NW393;NW;275;160;14;4;;;;;1,5;5,1;;97,83
Mandeni LM: KZN291;KZ;568;390;31;46;;;;;8,1;5,5;0;98,64
Mangaung MM: MAN;FS;2924;1548;204;184;18,7;25441;47,514;86,386;6,3;7;4,3;77,7
Mangaung MM: MAN_MM;FS;2924;1548;204;184;;;;;6,3;7;4,3;77,7
Mantsopa LM: FS196;FS;129;80;11;10;;;;;7,8;8,5;;90,14
Maphumulo LM: KZN294;KZ;402;267;28;18;;;;;4,5;7;;97,02
Maquassi Hills LM: NW404;NW;533;327;27;29;;;;;5,4;5,1;;94,14
Maruleng LM: LIM335;LP;171;80;12;5;;;;;2,9;7;;96,77
Masilonyana LM: FS181;FS;140;83;10;17;;;;;12,1;7,1;;93,65
Matatiele LM: EC441;EC;618;366;47;35;;;;;5,7;7,6;12,9;96,68
Matjhabeng LM: FS184;FS;1352;635;111;144;;;;;10,7;8,2;0;89,38
Matzikama LM: WC011;WC;913;558;34;88;;;;;9,6;3,7;0;83,96
Mbhashe LM: EC121;EC;1441;720;77;50;;;;;3,5;5,3;23,1;96,61
Mbizana LM: EC443;EC;740;472;46;59;;;;;8;6,2;;97,2
Merafong City LM: GT484;GP;482;261;26;22;;;;;4,6;5,4;0;96,19
Metsimaholo LM: FS204;FS;384;222;22;17;;;;;4,4;5,7;0;87,82
